time,participant,order,category
0:06:10,participant13,2,0
0:06:13,participant13,2,0
0:06:17,participant13,2,0
0:06:22,participant13,2,0
0:06:24,participant13,2,0
0:06:25,participant13,2,0
0:06:28,participant13,2,0
0:06:29,participant13,2,0
0:06:30,participant13,2,0
0:06:31,participant13,2,0
0:06:32,participant13,2,0
0:06:34,participant13,2,0
0:06:36,participant13,2,0
0:06:38,participant13,2,0
0:06:40,participant13,2,0
0:06:42,participant13,2,0
0:06:44,participant13,2,0
0:06:47,participant13,2,0
0:06:48,participant13,2,0
0:06:50,participant13,2,0
0:06:56,participant13,2,0
0:06:59,participant13,2,0
0:07:00,participant13,2,0
0:07:01,participant13,2,0
0:07:02,participant13,2,0
0:07:08,participant13,2,0
0:07:09,participant13,2,0
0:07:10,participant13,2,0
0:07:15,participant13,2,0
0:07:29,participant13,2,0
0:07:30,participant13,2,0
0:07:39,participant13,2,0
0:07:40,participant13,2,0
0:07:42,participant13,2,0
0:07:47,participant13,2,0
0:07:49,participant13,2,0
0:07:50,participant13,2,0
0:07:59,participant13,2,0
0:08:00,participant13,2,0
0:08:02,participant13,2,0
0:08:03,participant13,2,0
0:08:09,participant13,2,0
0:08:10,participant13,2,0
0:08:11,participant13,2,0
0:08:18,participant13,2,0
0:08:22,participant13,2,0
0:08:26,participant13,2,0
0:08:28,participant13,2,0
0:08:32,participant13,2,0
0:08:33,participant13,2,0
0:08:35,participant13,2,0
0:08:36,participant13,2,0
0:08:37,participant13,2,0
0:08:39,participant13,2,0
0:08:45,participant13,2,0
0:08:45,participant13,2,0
0:08:48,participant13,2,0
0:08:50,participant13,2,0
0:08:56,participant13,2,0
0:09:00,participant13,2,0
0:09:02,participant13,2,0
0:09:04,participant13,2,0
0:09:05,participant13,2,0
0:09:08,participant13,2,0
0:09:11,participant13,2,0
0:09:12,participant13,2,0
0:09:12,participant13,2,0
0:09:14,participant13,2,0
0:09:17,participant13,2,0
0:09:19,participant13,2,0
0:09:21,participant13,2,0
0:09:23,participant13,2,0
0:09:26,participant13,2,0
0:09:34,participant13,2,0
0:09:36,participant13,2,0
0:09:41,participant13,2,0
0:09:44,participant13,2,0
0:09:46,participant13,2,0
0:09:49,participant13,2,0
0:09:50,participant13,2,0
0:09:52,participant13,2,0
0:09:55,participant13,2,0
0:09:57,participant13,2,1
0:09:59,participant13,2,1
0:00:00,participant14,1,0
0:00:01,participant14,1,0
0:00:03,participant14,1,0
0:00:04,participant14,1,0
0:00:05,participant14,1,0
0:00:06,participant14,1,0
0:00:07,participant14,1,0
0:00:09,participant14,1,0
0:00:10,participant14,1,0
0:00:10,participant14,1,0
0:00:12,participant14,1,0
0:00:14,participant14,1,0
0:00:15,participant14,1,0
0:00:16,participant14,1,0
